entry_id,source,native_dataset,old_domain,classification,target_direction,notes,evidence,new_dataset,reader_code,adapter_code,schema_code,unit,target_entry,implementation,capability_limitations,production_data_checked
E01,tonghuashun,stock_daily_dump,operations.import_progress,ingestion_channel,原生导入进度；输出路由到行情/事件,通道不是独立正式行情；保留已下载暂存与采集进度,"R01 SOURCE_DATASETS; disposition is new design, not production result",,backend/app/data_store/local_sources.py:NativeSources.iter_entry / RescueSources.iter_entry,backend/app/data_store/pipeline.py:run_local,none: native operational/support only,ingestion_channel,E50,code_implemented_review_pending,"[""native_support_not_a_business_copy""]",false
E02,tonghuashun,stock_recent_dump,operations.import_progress,ingestion_channel,原生导入进度；输出路由到行情/事件,通道不是独立正式行情；保留已下载暂存与采集进度,"R01 SOURCE_DATASETS; disposition is new design, not production result",,backend/app/data_store/local_sources.py:NativeSources.iter_entry / RescueSources.iter_entry,backend/app/data_store/pipeline.py:run_local,none: native operational/support only,ingestion_channel,E50,code_implemented_review_pending,"[""native_support_not_a_business_copy""]",false
E03,tonghuashun,stock_actions_dump,operations.import_progress,ingestion_channel,原生导入进度；输出路由到行情/事件,通道不是独立正式行情；保留已下载暂存与采集进度,"R01 SOURCE_DATASETS; disposition is new design, not production result",,backend/app/data_store/local_sources.py:NativeSources.iter_entry / RescueSources.iter_entry,backend/app/data_store/pipeline.py:run_local,none: native operational/support only,ingestion_channel,E22,code_implemented_review_pending,"[""native_support_not_a_business_copy""]",false
E04,tonghuashun,fund_news,fund.news_window,business,当前业务对象/集合；保留真实业务日期，不保留发布版本,复用可证实语义；未证实字段/能力明确受限,"R01 SOURCE_DATASETS; disposition is new design, not production result",fund.news.reported,backend/app/data_store/local_sources.py:NativeSources.iter_entry / RescueSources.iter_entry,backend/app/data_store/adapters/normalize.py:normalize,backend/app/data_store/adapters/registry.py:E04; layout.Layout,series,,code_implemented_review_pending,"[""source_local_identity_only"", ""observed_time_only"", ""historical_public_time_unverified"", ""source_reports_not_verified_market_events"", ""source_window_only""]",false
E05,tonghuashun,anomaly_stock,market.stock_anomaly_window,business,当前业务对象/集合；保留真实业务日期，不保留发布版本,复用可证实语义；未证实字段/能力明确受限,"R01 SOURCE_DATASETS; disposition is new design, not production result",market.stock_anomaly.reported,backend/app/data_store/local_sources.py:NativeSources.iter_entry / RescueSources.iter_entry,backend/app/data_store/adapters/normalize.py:normalize,backend/app/data_store/adapters/registry.py:E05; layout.Layout,snapshot,,code_implemented_review_pending,"[""source_local_identity_only"", ""observed_time_only"", ""historical_public_time_unverified"", ""source_reports_not_verified_market_events"", ""source_window_only""]",false
E06,tonghuashun,rank_trend,market.rank_trend_window,business,类型化时间序列分片，不存完整历史points JSON,窗口拆成业务记录；单份当前值；有效来源先后及缺口语义保留,"R01 SOURCE_DATASETS; disposition is new design, not production result",market.rank_trend.reported,backend/app/data_store/local_sources.py:NativeSources.iter_entry / RescueSources.iter_entry,backend/app/data_store/adapters/normalize.py:normalize,backend/app/data_store/adapters/registry.py:E06; layout.Layout,series,,code_implemented_review_pending,"[""source_local_identity_only"", ""observed_time_only"", ""historical_public_time_unverified"", ""source_reports_not_verified_market_events"", ""source_window_only""]",false
E07,tonghuashun,fund_holdings,fund.reported_holdings_window,business,当前报告/完整集合，保留不同报告期,完整对象原子替换；不把report_date冒充公开可用时间,"R01 SOURCE_DATASETS; disposition is new design, not production result",fund.reported_holdings.reported,backend/app/data_store/local_sources.py:NativeSources.iter_entry / RescueSources.iter_entry,backend/app/data_store/adapters/normalize.py:normalize,backend/app/data_store/adapters/registry.py:E07; layout.Layout,group,,code_implemented_review_pending,"[""source_local_identity_only"", ""observed_time_only"", ""historical_public_time_unverified"", ""historical_member_identity_unresolved"", ""portfolio_completeness_unverified""]",false
E08,tonghuashun,fund_stock_history,fund.reported_stock_holdings_window,business,当前报告/完整集合，保留不同报告期,完整对象原子替换；不把report_date冒充公开可用时间,"R01 SOURCE_DATASETS; disposition is new design, not production result",fund.reported_stock_holdings.reported,backend/app/data_store/local_sources.py:NativeSources.iter_entry / RescueSources.iter_entry,backend/app/data_store/adapters/normalize.py:normalize,backend/app/data_store/adapters/registry.py:E08; layout.Layout,reports,,code_implemented_review_pending,"[""source_local_identity_only"", ""observed_time_only"", ""historical_public_time_unverified"", ""historical_member_identity_unresolved"", ""portfolio_completeness_unverified""]",false
E09,tonghuashun,fund_bond_history,fund.reported_bond_holdings_window,business,当前报告/完整集合，保留不同报告期,完整对象原子替换；不把report_date冒充公开可用时间,"R01 SOURCE_DATASETS; disposition is new design, not production result",fund.reported_bond_holdings.reported,backend/app/data_store/local_sources.py:NativeSources.iter_entry / RescueSources.iter_entry,backend/app/data_store/adapters/normalize.py:normalize,backend/app/data_store/adapters/registry.py:E09; layout.Layout,reports,,code_implemented_review_pending,"[""source_local_identity_only"", ""observed_time_only"", ""historical_public_time_unverified"", ""historical_member_identity_unresolved"", ""portfolio_completeness_unverified""]",false
E10,tonghuashun,stock_indicators,market.financial_indicator_window,business,当前报告/完整集合，保留不同报告期,完整对象原子替换；不把report_date冒充公开可用时间,"R01 SOURCE_DATASETS; disposition is new design, not production result",market.financial_indicator.reported,backend/app/data_store/local_sources.py:NativeSources.iter_entry / RescueSources.iter_entry,backend/app/data_store/adapters/normalize.py:normalize,backend/app/data_store/adapters/registry.py:E10; layout.Layout,reports,,code_implemented_review_pending,"[""source_local_identity_only"", ""observed_time_only"", ""historical_public_time_unverified"", ""provider_indicator_formula_and_units_unverified"", ""historical_vintages_unverified""]",false
