entry_id,source,native_dataset,old_domain,classification,target_direction,notes,evidence
E01,tonghuashun,stock_daily_dump,operations.import_progress,ingestion_channel,原生导入进度；输出路由到行情/事件,通道不是独立正式行情；保留已下载暂存与采集进度,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E02,tonghuashun,stock_recent_dump,operations.import_progress,ingestion_channel,原生导入进度；输出路由到行情/事件,通道不是独立正式行情；保留已下载暂存与采集进度,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E03,tonghuashun,stock_actions_dump,operations.import_progress,ingestion_channel,原生导入进度；输出路由到行情/事件,通道不是独立正式行情；保留已下载暂存与采集进度,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E04,tonghuashun,fund_news,fund.news_window,business,当前业务对象/集合；保留真实业务日期，不保留发布版本,复用可证实语义；未证实字段/能力明确受限,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E05,tonghuashun,anomaly_stock,market.stock_anomaly_window,business,当前业务对象/集合；保留真实业务日期，不保留发布版本,复用可证实语义；未证实字段/能力明确受限,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E06,tonghuashun,rank_trend,market.rank_trend_window,business,类型化时间序列分片，不存完整历史points JSON,窗口拆成业务记录；单份当前值；有效来源先后及缺口语义保留,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E07,tonghuashun,fund_holdings,fund.reported_holdings_window,business,当前报告/完整集合，保留不同报告期,完整对象原子替换；不把report_date冒充公开可用时间,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E08,tonghuashun,fund_stock_history,fund.reported_stock_holdings_window,business,当前报告/完整集合，保留不同报告期,完整对象原子替换；不把report_date冒充公开可用时间,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E09,tonghuashun,fund_bond_history,fund.reported_bond_holdings_window,business,当前报告/完整集合，保留不同报告期,完整对象原子替换；不把report_date冒充公开可用时间,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E10,tonghuashun,stock_indicators,market.financial_indicator_window,business,当前报告/完整集合，保留不同报告期,完整对象原子替换；不把report_date冒充公开可用时间,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E11,tonghuashun,fund_financial_indicators,fund.financial_indicator_window,business,当前报告/完整集合，保留不同报告期,完整对象原子替换；不把report_date冒充公开可用时间,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E12,tonghuashun,fund_income,fund.income_window,business,当前报告/完整集合，保留不同报告期,完整对象原子替换；不把report_date冒充公开可用时间,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E13,tonghuashun,fund_balance,fund.balance_window,business,当前报告/完整集合，保留不同报告期,完整对象原子替换；不把report_date冒充公开可用时间,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E14,tonghuashun,stock_income,market.income_window,business,当前报告/完整集合，保留不同报告期,完整对象原子替换；不把report_date冒充公开可用时间,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E15,tonghuashun,stock_balance,market.balance_window,business,当前报告/完整集合，保留不同报告期,完整对象原子替换；不把report_date冒充公开可用时间,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E16,tonghuashun,stock_cash_flow,market.cash_flow_window,business,当前报告/完整集合，保留不同报告期,完整对象原子替换；不把report_date冒充公开可用时间,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E17,tonghuashun,fund_allocation,fund.allocation_window,business,当前报告/完整集合，保留不同报告期,完整对象原子替换；不把report_date冒充公开可用时间,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E18,tonghuashun,fund_industry,fund.industry_window,business,当前报告/完整集合，保留不同报告期,完整对象原子替换；不把report_date冒充公开可用时间,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E19,tonghuashun,fund_holders,fund.holder_composition_window,business,当前报告/完整集合，保留不同报告期,完整对象原子替换；不把report_date冒充公开可用时间,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E20,tonghuashun,fund_top_holders,fund.top_holder_window,business,当前报告/完整集合，保留不同报告期,完整对象原子替换；不把report_date冒充公开可用时间,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E21,tonghuashun,fund_dividends,fund.dividend_window,business,当前事件/状态事实；业务键去重,时间/单位/生效含义保留；事件缺失不推断无事件，记录更正替换而非留发布历史,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E22,tonghuashun,stock_actions,market.corporate_action_window,business,当前事件/状态事实；业务键去重,时间/单位/生效含义保留；事件缺失不推断无事件，记录更正替换而非留发布历史,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E23,tonghuashun,fund_manager_performance,fund.manager_performance_window,business,类型化时间序列分片，不存完整历史points JSON,窗口拆成业务记录；单份当前值；有效来源先后及缺口语义保留,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E24,tonghuashun,fund_manager_style,fund.manager_style_snapshot,business,当前业务对象/集合；保留真实业务日期，不保留发布版本,复用可证实语义；未证实字段/能力明确受限,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E25,tonghuashun,fund_returns,fund.return_snapshot,business,当前业务对象/集合；保留真实业务日期，不保留发布版本,复用可证实语义；未证实字段/能力明确受限,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E26,tonghuashun,fund_drawdowns,fund.drawdown_snapshot,business,当前业务对象/集合；保留真实业务日期，不保留发布版本,复用可证实语义；未证实字段/能力明确受限,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E27,tonghuashun,fund_performance_history,fund.performance_window,business,类型化时间序列分片，不存完整历史points JSON,窗口拆成业务记录；单份当前值；有效来源先后及缺口语义保留,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E28,tonghuashun,dragon_tiger,market.dragon_tiger_snapshot,business,当前业务对象/集合；保留真实业务日期，不保留发布版本,复用可证实语义；未证实字段/能力明确受限,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E29,tonghuashun,stock_auction,market.auction_snapshot,business,当前业务对象/集合；保留真实业务日期，不保留发布版本,复用可证实语义；未证实字段/能力明确受限,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E30,tonghuashun,auction_benchmark,market.auction_benchmark_snapshot,business,当前业务对象/集合；保留真实业务日期，不保留发布版本,复用可证实语义；未证实字段/能力明确受限,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E31,tonghuashun,limit_up,market.limit_up_snapshot,business,当前业务对象/集合；保留真实业务日期，不保留发布版本,复用可证实语义；未证实字段/能力明确受限,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E32,tonghuashun,limit_down,market.limit_down_snapshot,business,当前业务对象/集合；保留真实业务日期，不保留发布版本,复用可证实语义；未证实字段/能力明确受限,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E33,tonghuashun,limit_break,market.limit_break_snapshot,business,当前业务对象/集合；保留真实业务日期，不保留发布版本,复用可证实语义；未证实字段/能力明确受限,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E34,tonghuashun,anomaly_list,market.anomaly_snapshot,business,当前业务对象/集合；保留真实业务日期，不保留发布版本,复用可证实语义；未证实字段/能力明确受限,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E35,tonghuashun,limit_ladder,market.limit_ladder_window,business,当前业务对象/集合；保留真实业务日期，不保留发布版本,复用可证实语义；未证实字段/能力明确受限,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E36,tonghuashun,stock_quote,market.stock_quote_snapshot,business,当前业务对象/集合；保留真实业务日期，不保留发布版本,复用可证实语义；未证实字段/能力明确受限,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E37,tonghuashun,etf_quote,market.etf_quote_snapshot,business,当前业务对象/集合；保留真实业务日期，不保留发布版本,复用可证实语义；未证实字段/能力明确受限,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E38,tonghuashun,index_quote,market.index_quote_snapshot,business,当前业务对象/集合；保留真实业务日期，不保留发布版本,复用可证实语义；未证实字段/能力明确受限,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E39,tonghuashun,stock_valuation,market.stock_valuation_snapshot,business,当前业务对象/集合；保留真实业务日期，不保留发布版本,复用可证实语义；未证实字段/能力明确受限,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E40,tonghuashun,tickers,instrument.reference,business,小型当前资料/日历（PG或列式二选一）,身份映射有依据才统一；历史业务区间保留,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E41,tonghuashun,fund_company,fund.company,business,小型当前资料/日历（PG或列式二选一）,身份映射有依据才统一；历史业务区间保留,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E42,tonghuashun,fund_manager,fund.manager,business,小型当前资料/日历（PG或列式二选一）,身份映射有依据才统一；历史业务区间保留,"R01 SOURCE_DATASETS; disposition is new design, not production result"
E43,tonghuashun,fund_profile,fund.profile,business,小型当前资料/日历（PG或列式二选一）,身份映射有依据才统一；历史业务区间保留,"R01 SOURCE_DATASETS; disposition is new design, not production result"
